latitude,longitude,number of ships,inflection fraction
8,-66.26229612,1,1
11,-88.66474085,1,0
12,-88.79280881,9,0
13,-116.2187968,1,0
13,-112.1764038,123,0
13,-88.93264449,20,0
14,-117.4294516,6,0
14,-116.4171288,15,0
14,-115.4048059,19,0
14,-114.3924831,1,0
14,-110.3431916,6,0
14,-109.3308688,2,0
14,-89.08441159,41,0.024390244
14,-67.82563155,2,0
14,-65.80098583,1,1
15,-109.5319914,1,0
15,-70.9929574,4,0
15,-69.97877229,4,0
15,-68.96458719,20,0
15,-67.95040208,3,0
15,-66.93621697,106,0
15,-65.92203187,95,0
15,-64.90784676,61,0
15,-63.89366166,16,0
16,-112.7967784,6,0
16,-111.7805912,76,0
16,-110.764404,10,0
16,-109.7482168,17,0
16,-76.21403943,2,0.5
16,-71.13310347,1,0
16,-70.11691628,49,0
16,-69.10072908,262,0.007633588
16,-68.08454189,191,0.005235602
16,-67.0683547,649,0
16,-66.05216751,967,0
16,-65.03598031,518,0
16,-64.01979312,105,0
16,-63.00360593,32,0
17,-119.1447889,6,0
17,-118.1264574,35,0
17,-117.1081259,1,0
17,-115.0714628,1,0
17,-114.0531313,115,0
17,-113.0347998,175,0
17,-112.0164682,145,0
17,-110.9981367,153,0
17,-109.9798052,52,0
17,-108.9614736,18,0.055555556
17,-107.9431421,1,0
17,-103.869816,7,0.285714286
17,-88.59484306,57,0
17,-70.26487553,65,0
17,-69.246544,469,0.002132196
17,-68.22821247,2674,0
17,-67.20988094,7755,0.000128949
17,-66.19154941,3595,0.000278164
17,-65.17321788,3896,0.001283368
17,-64.15488635,1255,0
17,-63.13655482,7,0
18,-119.412625,2,0
18,-117.3713835,33,0
18,-116.3507628,128,0
18,-115.3301421,103,0
18,-114.3095213,85,0
18,-113.2889006,139,0
18,-112.2682799,445,0
18,-111.2476592,388,0
18,-110.2270384,31,0
18,-88.79400318,19,0
18,-70.42283011,38,0.02631579
18,-69.40220938,587,0.00681431
18,-68.38158865,13108,0.000457736
18,-67.36096793,14329,0.000767674
18,-66.3403472,22990,0.003262288
18,-65.31972647,60629,0.002754457
18,-64.29910575,38954,0.002541459
18,-63.27848502,565,0.012389381
18,-62.2578643,9,0.111111111
19,-154.4816977,20,0
19,-129.9283152,1,0
19,-128.9052576,22,0
19,-127.8822,7,0
19,-126.8591424,2,0.5
19,-124.8130272,3,0
19,-123.7899696,1,0
19,-119.6977392,16,0
19,-118.6746816,314,0
19,-117.651624,497,0
19,-116.6285664,587,0
19,-115.6055088,455,0
19,-114.5824512,481,0
19,-113.5593936,331,0
19,-112.536336,140,0
19,-110.4902208,144,0
19,-109.4671632,228,0
19,-108.4441056,25,0
19,-89.00601123,61,0
19,-69.56791682,59,0.016949153
19,-68.54485922,4673,0.000641986
19,-67.52180162,16652,0.000240211
19,-66.49874402,23841,0.000167778
19,-65.47568642,15369,6.51E-05
19,-64.45262882,6109,0.000818465
19,-63.42957122,301,0.003322259
20,-154.8724234,115,0.060869565
