key,numeric type,string type,ID,time ratio,number of line segments,mean speed,standard deviation in speed,number of acceleration points,length,ratio of width to length,type of cargo,receiver class,number of neighbors
CALL-------_MMSI368926054,35,Military,call sign,0.0449,0.51,0.511,0.4921,0.7858,1.0,0.1374,0.0,A,0.3754
CALL0000000_MMSI316047701,37,Pleasure Craft/Sailing,call sign,0.03,0.5075,0.5037,0.4688,0.4502,0.3775,0.2941,2.0,A,0.4265
CALL0000000_MMSI338358279,51,Other,call sign,0.0081,0.5,0.4544,0.5105,0.4502,0.1978,0.25,0,B,0.0046
CALL0000000_MMSI338366846,37,Pleasure Craft/Sailing,call sign,0.0385,0.5075,0.7406,0.5417,0.4502,0.1824,0.4286,0,B,0.0046
CALL0000000_MMSI338409969,37,Pleasure Craft/Sailing,call sign,0.0047,0.4975,0.4285,0.4766,0.4502,0.31,0.4286,0,B,0.0046
CALL0000000_MMSI360000000,90,Other,call sign,0.0026,0.5,0.5977,0.5104,0.475,0.9526,0.2692,3.3,A,0.0046
CALL000000_MMSI338364882,37,Pleasure Craft/Sailing,call sign,0.1813,0.515,0.4805,0.4766,0.5498,0.9999,0.0442,0,B,0.3438
CALL00001_MMSI319205900,37,Pleasure Craft/Sailing,call sign,0.0332,0.5075,0.427,0.4762,0.4502,0.525,0.2609,0,B,0.0046
CALL0000_MMSI338357082,37,Pleasure Craft/Sailing,call sign,0.0061,0.5025,0.4675,0.5202,0.8581,0.2142,0.2222,0,B,0.0046
CALL100%_MMSI91800144,30,Fishing,call sign,0.0103,0.4975,0.3612,0.4662,0.4502,0.2315,0.5,0,B,0.0046
CALL1144_MMSI412552200,0,Unknown,call sign,0.0025,0.495,0.4788,0.4723,0.4502,0.0998,0,0,B,0.0046
CALL1148302_MMSI338427516,37,Pleasure Craft/Sailing,call sign,0.0388,0.5075,0.3925,0.4724,0.4502,0.2497,0.3636,0,B,0.0046
CALL1155166_MMSI338398634,37,Pleasure Craft/Sailing,call sign,0.1761,0.5125,0.774,0.5073,0.4502,0.3775,0.3529,0,B,0.4127
CALL1193_MMSI941212643,0,Unknown,call sign,0.0043,0.495,0.391,0.4694,0.4502,0.0998,0,0,B,0.0046
CALL1201592_MMSI338367901,37,Pleasure Craft/Sailing,call sign,0.0216,0.5075,0.5334,0.4789,0.5,0.4013,0.2222,0,B,0.0046
